Day,Visitor type,Site member,Traffic category,Traffic source,Traffic source URL,UTM campaign source,UTM campaign medium,UTM campaign name,UTM campaign content,UTM campaign keywords,UTM Wix campaign,Page path,Page URL,Country,Region,City,Postal code,Device type,Browser,Browser version,Operating system,IP address,Is the first page viewed (Yes / No),Is the last page viewed (Yes / No),Next page viewed,Previous page viewed,Page views,Site sessions,Unique visitors,Bounce rate,Page exit rate,Avg. session duration,Avg. time on page,Avg. pages per session
2024-05-19,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,Unknown,Unknown,Unknown,Mobile,Chrome,99.0.4844.47,iOS,162.43.228.130,Yes,Yes,,,1,1,1,100.00%,100.00%,,,1
2024-05-31,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/why-smp,/business-directory,1,1,1,0.00%,0.00%,1h 07m 22s,58s,1
2024-05-30,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/clients,https://schaumburgmarketplace.net/clients,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/contact-us,/about-us,1,1,1,0.00%,0.00%,58m 14s,1m 07s,1
2024-05-21,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/contact-us,https://schaumburgmarketplace.net/contact-us,United States,IL,Palatine,60074,Mobile,Safari,17.4.1,iOS,75.22.141.46,No,No,/,/,1,1,1,0.00%,0.00%,54s,2s,1
2024-06-03,New,No,Referral,Google,https://classroom.google.com/,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,MD,Silver Spring,20902,Desktop,Chrome,125.0.0.0,Windows,69.143.114.229,No,No,/business-directory,/events,1,1,1,0.00%,0.00%,1h 20m 51s,16s,1
2024-05-08,Returning,No,Direct,Direct,Unknown,_,_,_,_,_,_,/offers,https://schaumburgmarketplace.net/offers,United States,IL,Carol Stream,60188,Desktop,Edge,124.0.0.0,Windows,67.165.137.153,No,No,/events,/events,1,1,1,0.00%,0.00%,6m 48s,2s,1
2024-06-01,New,No,Referral,Google,https://classroom.google.com/,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Bolingbrook,60440,Mobile,Safari,16.1,iOS,104.12.224.14,Yes,No,/news-1,,1,1,1,0.00%,0.00%,1m 32s,44s,1
2024-05-17,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/faq,https://schaumburgmarketplace.net/faq,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/testimonials,/about-us,1,1,1,0.00%,0.00%,34s,12s,1
2024-05-10,Returning,No,Direct,Direct,Unknown,_,_,_,_,_,_,/offers,https://schaumburgmarketplace.net/offers,United States,IL,Schaumburg,60194,Desktop,Edge,124.0.0.0,Windows,98.206.217.54,No,Yes,,/events,1,1,1,0.00%,100.00%,1m 56s,,1
2024-05-30,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/news-1,https://schaumburgmarketplace.net/news-1,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/jobs,/offers,1,1,1,0.00%,0.00%,1h 46m 28s,8s,1
2024-05-14,New,No,Direct,Direct,https://schaumburgmarketplace.net/testimonials,_,_,_,_,_,_,/events,https://schaumburgmarketplace.net/events,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,Yes,No,/,,1,1,1,0.00%,0.00%,14m 30s,13s,1
2024-06-03,New,No,Referral,Google,https://classroom.google.com/,_,_,_,_,_,_,/email-marketing,https://schaumburgmarketplace.net/email-marketing,United States,IL,Schaumburg,60193,Desktop,Edge,125.0.0.0,Windows,98.206.217.54,No,No,/why-smp,/business-directory,1,1,1,0.00%,0.00%,16m 34s,35s,1
